Val epoch 24, loss: 2.371652, MAE: 4.948560, GCC MAE: 6.409157, ACC: 0.680851, GCC ACC: 0.611702

Train epoch 25, loss: 2.476206, MAE: 6.343758, GCC-MAE: 7.475555, ACC: 0.618922, GCC-ACC: 0.547040

Val epoch 25, loss: 2.491279, MAE: 6.011263, GCC MAE: 7.586675, ACC: 0.611702, GCC ACC: 0.585106

Train epoch 26, loss: 2.426955, MAE: 6.387320, GCC-MAE: 7.977196, ACC: 0.629493, GCC-ACC: 0.539112

Val epoch 26, loss: 2.510316, MAE: 6.783352, GCC MAE: 7.655274, ACC: 0.579787, GCC ACC: 0.531915

Train epoch 27, loss: 2.424105, MAE: 6.232253, GCC-MAE: 7.980004, ACC: 0.642706, GCC-ACC: 0.544926

Val epoch 27, loss: 2.541463, MAE: 5.960946, GCC MAE: 7.405776, ACC: 0.606383, GCC ACC: 0.563830

Train epoch 28, loss: 2.427154, MAE: 6.513635, GCC-MAE: 7.655016, ACC: 0.628964, GCC-ACC: 0.535941

Val epoch 28, loss: 2.424474, MAE: 6.830526, GCC MAE: 7.450115, ACC: 0.627660, GCC ACC: 0.579787

Train epoch 29, loss: 2.529005, MAE: 6.522229, GCC-MAE: 7.772382, ACC: 0.623150, GCC-ACC: 0.533827

Val epoch 29, loss: 2.423645, MAE: 6.273998, GCC MAE: 7.093273, ACC: 0.601064, GCC ACC: 0.590425

